ID Cliente,Nome Cliente,Distância (km),Tipo Entrega,Tipo Pagamento,Data e Horário do Pedido,Pedido,Valor Total (R$),Quantidade de Itens,Tem Pizza,Tem Bebida
103,Cliente_103,3.14,Entrega Rápida,Cartão Crédito,2024-08-12 18:02:00,"Banana com Canela, Refrigerante Lata",26.5,2,1,1
42,Cliente_42,14.1,Entrega Rápida,Dinheiro,2024-03-11 20:14:00,"Vegetariana, Vegetariana, Mussarela, Refrigerante Lata, Refrigerante 2L",119.0,5,1,1
147,Cliente_147,13.57,Entrega Padrão,Cartão Débito,2024-03-18 19:10:00,"Cerveja Lata, Cerveja Lata",14.0,2,0,1
169,Cliente_169,13.55,Entrega Rápida,PIX,2024-03-05 20:36:00,"Pepperoni, Camarão, Strogonoff de Frango, Palmito, Refrigerante 2L, Cerveja Lata",145.0,6,1,1
162,Cliente_162,8.5,Retirada,Cartão Débito,2024-04-29 21:20:00,Alho e Óleo,26.0,1,1,0
191,Cliente_191,4.49,Entrega Padrão,Cartão Débito,2024-12-01 21:03:00,"Brócolis com Bacon, Quatro Queijos, Refrigerante 2L, Refrigerante Lata",74.0,4,1,1
31,Cliente_31,1.75,Retirada,Cartão Crédito,2024-04-07 20:32:00,"Catupiry, Sorvete, Mexicana, Cerveja Long Neck, Cerveja Lata",106.5,5,1,1
122,Cliente_122,6.54,Entrega Padrão,Dinheiro,2024-04-03 21:59:00,Abacaxi,23.0,1,1,0
36,Cliente_36,8.41,Entrega Padrão,Dinheiro,2024-09-03 20:50:00,"Pepperoni, Strogonoff de Frango, Quatro Queijos",92.5,3,1,0
195,Cliente_195,2.81,Entrega Padrão,Cartão Débito,2024-06-25 23:57:00,Refrigerante 2L,10.0,1,0,1
193,Cliente_193,3.95,Retirada,PIX,2024-09-12 18:18:00,"Frango com Catupiry, Bacon, Frango com Catupiry, Quatro Queijos, Refrigerante 2L, Refrigerante Lata",132.5,6,1,1
192,Cliente_192,7.41,Entrega Rápida,Cartão Crédito,2024-02-28 19:55:00,"Strogonoff de Frango, Margarida, Banana com Canela",80.5,3,1,0
118,Cliente_118,8.17,Entrega Padrão,Cartão Débito,2024-10-27 22:58:00,"Sorvete, Milho com Bacon, Strogonoff de Carne, Cerveja Lata, Cerveja Lata, Refrigerante 2L",111.5,6,1,1
143,Cliente_143,10.05,Retirada,Dinheiro,2024-05-08 22:44:00,"Português, Palmito, Vegetariana, Refrigerante 2L, Cerveja Lata",101.5,5,1,1
31,Cliente_31,12.29,Retirada,Dinheiro,2024-09-11 23:46:00,"Sorvete, Milho com Bacon, Mexicana, Napolitana, Banana com Canela, Cerveja Long Neck",145.5,6,1,1
146,Cliente_146,5.7,Entrega Padrão,Dinheiro,2024-04-25 18:22:00,"Prestígio, Palmito, Sorvete, Cerveja Long Neck, Cerveja Lata",99.0,5,1,1
51,Cliente_51,2.39,Entrega Rápida,Dinheiro,2024-07-10 20:57:00,,0.0,0,0,0
118,Cliente_118,9.63,Entrega Rápida,Cartão Crédito,2024-06-21 19:45:00,Banana com Canela,21.5,1,1,0
41,Cliente_41,11.95,Retirada,PIX,2024-04-14 23:50:00,"Alho e Óleo, Pepperoni, Strogonoff de Frango, Alho e Óleo, Chocolate com Morango, Cerveja Lata",147.5,6,1,1
187,Cliente_187,12.36,Entrega Rápida,Dinheiro,2024-07-11 18:21:00,"Refrigerante Lata, Cerveja Long Neck, Refrigerante Lata",22.0,3,0,1
